cfg_id,seed,min_samples_leaf,max_depth,f1_val,pr_auc,recall,threshold,depth_that,n_leaf,fit_s,params
14,1,25,-1,0.580908032596042,0.472038968673814,0.4611829944547135,0.9984564350948317,54,739,24.3,"{""min_samples_leaf"": 25, ""max_depth"": null, ""class_weight"": ""balanced""}"
14,2,25,-1,0.580908032596042,0.47411825247814354,0.4611829944547135,0.9984564350948316,54,729,24.3,"{""min_samples_leaf"": 25, ""max_depth"": null, ""class_weight"": ""balanced""}"
15,0,5,8,0.5353115727002967,0.35223434348619476,0.4168207024029575,0.9991870029855464,8,71,22.0,"{""min_samples_leaf"": 5, ""max_depth"": 8, ""class_weight"": ""balanced""}"
15,1,5,8,0.5344418052256532,0.3515027554333401,0.41589648798521256,0.9994917219052537,8,71,22.3,"{""min_samples_leaf"": 5, ""max_depth"": 8, ""class_weight"": ""balanced""}"
15,2,5,8,0.5353115727002967,0.3522251722011738,0.4168207024029575,0.9991870029855463,8,72,22.5,"{""min_samples_leaf"": 5, ""max_depth"": 8, ""class_weight"": ""balanced""}"
16,0,5,12,0.5492957746478874,0.42411803517881874,0.43253234750462105,0.9983753268255332,12,167,23.0,"{""min_samples_leaf"": 5, ""max_depth"": 12, ""class_weight"": ""balanced""}"
16,1,5,12,0.5492957746478874,0.42411793657822183,0.43253234750462105,0.9983753268255332,12,165,24.1,"{""min_samples_leaf"": 5, ""max_depth"": 12, ""class_weight"": ""balanced""}"
16,2,5,12,0.5492957746478874,0.4241295498107744,0.43253234750462105,0.9983753268255332,12,165,30.7,"{""min_samples_leaf"": 5, ""max_depth"": 12, ""class_weight"": ""balanced""}"
17,0,5,16,0.5424557116676848,0.42260669987475896,0.41035120147874304,0.9980375174959939,16,280,38.4,"{""min_samples_leaf"": 5, ""max_depth"": 16, ""class_weight"": ""balanced""}"
17,1,5,16,0.5436774587660355,0.42309687260705997,0.411275415896488,0.9980375174959938,16,282,40.2,"{""min_samples_leaf"": 5, ""max_depth"": 16, ""class_weight"": ""balanced""}"
17,2,5,16,0.545009185548071,0.44342240373225333,0.411275415896488,0.9980375174959938,16,277,37.9,"{""min_samples_leaf"": 5, ""max_depth"": 16, ""class_weight"": ""balanced""}"
18,0,5,24,0.535799522673031,0.42254263805709097,0.41497227356746763,0.9963518940822275,24,502,39.4,"{""min_samples_leaf"": 5, ""max_depth"": 24, ""class_weight"": ""balanced""}"
18,1,5,24,0.539015606242497,0.42211586213905594,0.41497227356746763,0.9963518940822275,24,498,35.8,"{""min_samples_leaf"": 5, ""max_depth"": 24, ""class_weight"": ""balanced""}"
18,2,5,24,0.535799522673031,0.4214128117676031,0.41497227356746763,0.9963518940822275,24,506,37.3,"{""min_samples_leaf"": 5, ""max_depth"": 24, ""class_weight"": ""balanced""}"
19,0,5,-1,0.5402792696025779,0.38394332810656706,0.46487985212569316,0.9951417665596912,92,1499,34.2,"{""min_samples_leaf"": 5, ""max_depth"": null, ""class_weight"": ""balanced""}"
19,1,5,-1,0.5256049521665729,0.3816129559173112,0.4316081330868762,0.9981726137918938,92,1503,30.1,"{""min_samples_leaf"": 5, ""max_depth"": null, ""class_weight"": ""balanced""}"
19,2,5,-1,0.5318801089918256,0.3848993492632416,0.4510166358595194,0.9963518940822275,92,1503,25.3,"{""min_samples_leaf"": 5, ""max_depth"": null, ""class_weight"": ""balanced""}"
20,0,1,8,0.5340438129070456,0.3506745020096471,0.4168207024029575,0.9994917219052504,8,71,22.5,"{""min_samples_leaf"": 1, ""max_depth"": 8, ""class_weight"": ""balanced""}"
20,1,1,8,0.534994068801898,0.35223707204413524,0.4168207024029575,0.9994917219052537,8,70,22.9,"{""min_samples_leaf"": 1, ""max_depth"": 8, ""class_weight"": ""balanced""}"
20,2,1,8,0.5343601895734598,0.3511936630035244,0.4168207024029575,0.9994917219052543,8,74,22.2,"{""min_samples_leaf"": 1, ""max_depth"": 8, ""class_weight"": ""balanced""}"
21,0,1,12,0.5500292568753657,0.36868661981825507,0.4343807763401109,0.9995542513243856,12,176,22.8,"{""min_samples_leaf"": 1, ""max_depth"": 12, ""class_weight"": ""balanced""}"
21,1,1,12,0.5484247374562428,0.3648045585174967,0.4343807763401109,0.9995542513243881,12,170,22.9,"{""min_samples_leaf"": 1, ""max_depth"": 12, ""class_weight"": ""balanced""}"
21,2,1,12,0.5516431924882629,0.3731314046154403,0.4343807763401109,0.9995542513243841,12,175,22.9,"{""min_samples_leaf"": 1, ""max_depth"": 12, ""class_weight"": ""balanced""}"
22,0,1,16,0.5382403680276021,0.3543985134051632,0.43253234750462105,0.999569884901663,16,281,23.6,"{""min_samples_leaf"": 1, ""max_depth"": 16, ""class_weight"": ""balanced""}"
22,1,1,16,0.5363896848137536,0.3512902649906117,0.43253234750462105,0.9995698849016628,16,281,23.5,"{""min_samples_leaf"": 1, ""max_depth"": 16, ""class_weight"": ""balanced""}"
22,2,1,16,0.5360824742268041,0.3311606959246467,0.43253234750462105,0.9995698849016623,16,280,23.6,"{""min_samples_leaf"": 1, ""max_depth"": 16, ""class_weight"": ""balanced""}"
23,0,1,24,0.13137755102040816,0.03269341359377278,0.09519408502772643,0.9958861122848369,24,537,24.0,"{""min_samples_leaf"": 1, ""max_depth"": 24, ""class_weight"": ""balanced""}"
23,1,1,24,0.13383838383838384,0.03290931629462875,0.09796672828096119,0.9958861122848358,24,535,24.2,"{""min_samples_leaf"": 1, ""max_depth"": 24, ""class_weight"": ""balanced""}"
23,2,1,24,0.13316423589093215,0.033073362416403955,0.09704251386321626,0.995886112284839,24,539,24.4,"{""min_samples_leaf"": 1, ""max_depth"": 24, ""class_weight"": ""balanced""}"
24,0,1,-1,0.0928462709284627,0.015828598903646778,0.056377079482439925,1.0,114,2551,25.8,"{""min_samples_leaf"": 1, ""max_depth"": null, ""class_weight"": ""balanced""}"
24,1,1,-1,0.09252120277563608,0.01648151786948432,0.05545286506469501,1.0,114,2553,25.6,"{""min_samples_leaf"": 1, ""max_depth"": null, ""class_weight"": ""balanced""}"
24,2,1,-1,0.0975609756097561,0.017461414444133874,0.059149722735674676,1.0,114,2552,25.1,"{""min_samples_leaf"": 1, ""max_depth"": null, ""class_weight"": ""balanced""}"
