round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0.125,0.44415752098127825,0.347926267281106,0.32281252978683095,54,0.3,2,0.08894,1.7739,1.3704,3.175,"{""num_leaves"": 2, ""learning_rate"": 0.08894, ""reg_lambda"": 1.7739, ""reg_alpha"": 1.3704, ""scale_pos_weight"": 3.175, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.40914158305462656,0.2697881828316611,0.2705051456169455,129,0.5,8,0.0069,0.0315,1.4167,6.275,"{""num_leaves"": 8, ""learning_rate"": 0.0069, ""reg_lambda"": 0.0315, ""reg_alpha"": 1.4167, ""scale_pos_weight"": 6.275, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4583068109484405,0.0,0.36234489908325407,44,0.8,8192,0.02144,17.3318,1.9259,3.596,"{""num_leaves"": 8192, ""learning_rate"": 0.02144, ""reg_lambda"": 17.3318, ""reg_alpha"": 1.9259, ""scale_pos_weight"": 3.596, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.48537647790914745,0.2713681241184767,0.3829990644884044,98,0.9,128,0.05336,3.2065,3.0196,4.325,"{""num_leaves"": 128, ""learning_rate"": 0.05336, ""reg_lambda"": 3.2065, ""reg_alpha"": 3.0196, ""scale_pos_weight"": 4.325, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4415935178933153,0.0,0.32309467418209314,15,0.4,64,0.02133,2.3752,2.6648,2.309,"{""num_leaves"": 64, ""learning_rate"": 0.02133, ""reg_lambda"": 2.3752, ""reg_alpha"": 2.6648, ""scale_pos_weight"": 2.309, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.23665631177633437,0.05750276455598827,0.0795638391333867,2,0.5,4096,0.07327,0.0149,2.589,4.738,"{""num_leaves"": 4096, ""learning_rate"": 0.07327, ""reg_lambda"": 0.0149, ""reg_alpha"": 2.589, ""scale_pos_weight"": 4.738, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2720763723150358,0.21867082440070162,0.12655537497461192,2,0.3,64,0.05555,0.011,1.5448,1.708,"{""num_leaves"": 64, ""learning_rate"": 0.05555, ""reg_lambda"": 0.011, ""reg_alpha"": 1.5448, ""scale_pos_weight"": 1.708, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.460942543576501,0.42896174863387976,0.3825138431861201,193,0.8,16,0.00814,6.4656,2.968,2.141,"{""num_leaves"": 16, ""learning_rate"": 0.00814, ""reg_lambda"": 6.4656, ""reg_alpha"": 2.968, ""scale_pos_weight"": 2.141, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2706923477355544,0.061875740646690366,0.10665655947866418,1,0.3,1024,0.06269,0.0173,1.5725,4.868,"{""num_leaves"": 1024, ""learning_rate"": 0.06269, ""reg_lambda"": 0.0173, ""reg_alpha"": 1.5725, ""scale_pos_weight"": 4.868, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.40816326530612246,0.31326116373477675,0.34009907022825797,64,0.5,32,0.09219,12.6697,1.4499,3.429,"{""num_leaves"": 32, ""learning_rate"": 0.09219, ""reg_lambda"": 12.6697, ""reg_alpha"": 1.4499, ""scale_pos_weight"": 3.429, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
