round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,max_depth,learning_rate,reg_lambda,scale_pos_weight,colsample_bytree,subsample,params
0,0.125,0.26246719160104987,0.0,0.1910201761674816,8,0.3,3,0.05555,0.011,4.285,0.539,0.826,"{""max_depth"": 3, ""learning_rate"": 0.05555, ""reg_lambda"": 0.011, ""scale_pos_weight"": 4.285, ""colsample_bytree"": 0.539, ""subsample"": 0.826, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5045871559633027,0.0,0.4111006626774293,64,0.8,8,0.03581,59.5944,2.141,0.932,0.53,"{""max_depth"": 8, ""learning_rate"": 0.03581, ""reg_lambda"": 59.5944, ""scale_pos_weight"": 2.141, ""colsample_bytree"": 0.932, ""subsample"": 0.53, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5183459522422831,0.0,0.39188020331902934,27,0.5,5,0.01178,0.5237,5.4,0.988,0.888,"{""max_depth"": 5, ""learning_rate"": 0.01178, ""reg_lambda"": 0.5237, ""scale_pos_weight"": 5.4, ""colsample_bytree"": 0.988, ""subsample"": 0.888, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.042188628496002786,0.0,0.017794144535641127,2,0.3,1,0.00803,28.3453,8.932,0.755,0.672,"{""max_depth"": 1, ""learning_rate"": 0.00803, ""reg_lambda"": 28.3453, ""scale_pos_weight"": 8.932, ""colsample_bytree"": 0.755, ""subsample"": 0.672, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5157083580320095,0.0,0.37559686571309814,2,0.3,5,0.09826,0.1836,2.644,0.94,0.906,"{""max_depth"": 5, ""learning_rate"": 0.09826, ""reg_lambda"": 0.1836, ""scale_pos_weight"": 2.644, ""colsample_bytree"": 0.94, ""subsample"": 0.906, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.47163362952836635,0.0,0.36263907661693606,5,0.3,5,0.08662,50.4497,7.734,0.93,0.624,"{""max_depth"": 5, ""learning_rate"": 0.08662, ""reg_lambda"": 50.4497, ""scale_pos_weight"": 7.734, ""colsample_bytree"": 0.93, ""subsample"": 0.624, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.39829993928354585,0.0,0.33918400703314056,15,0.5,11,0.00515,4.789,7.432,0.584,0.698,"{""max_depth"": 11, ""learning_rate"": 0.00515, ""reg_lambda"": 4.789, ""scale_pos_weight"": 7.432, ""colsample_bytree"": 0.584, ""subsample"": 0.698, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5026680896478122,0.0,0.355322373400241,7,0.5,14,0.02198,2.0575,2.747,0.763,0.762,"{""max_depth"": 14, ""learning_rate"": 0.02198, ""reg_lambda"": 2.0575, ""scale_pos_weight"": 2.747, ""colsample_bytree"": 0.763, ""subsample"": 0.762, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.3218884120171674,0.0,0.27092042087001894,15,0.5,14,0.0043,84.678,6.143,0.503,0.886,"{""max_depth"": 14, ""learning_rate"": 0.0043, ""reg_lambda"": 84.678, ""scale_pos_weight"": 6.143, ""colsample_bytree"": 0.503, ""subsample"": 0.886, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4811083123425693,0.0,0.34514998434686556,5,0.4,12,0.02426,0.19,2.688,0.836,0.598,"{""max_depth"": 12, ""learning_rate"": 0.02426, ""reg_lambda"": 0.19, ""scale_pos_weight"": 2.688, ""colsample_bytree"": 0.836, ""subsample"": 0.598, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4059339177343223,0.0,0.2526047622535679,2,0.4,15,0.02326,2.5642,9.662,0.536,0.75,"{""max_depth"": 15, ""learning_rate"": 0.02326, ""reg_lambda"": 2.5642, ""scale_pos_weight"": 9.662, ""colsample_bytree"": 0.536, ""subsample"": 0.75, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4883866917765223,0.0,0.3224370251069061,4,0.3,9,0.00583,0.3567,1.566,0.863,0.544,"{""max_depth"": 9, ""learning_rate"": 0.00583, ""reg_lambda"": 0.3567, ""scale_pos_weight"": 1.566, ""colsample_bytree"": 0.863, ""subsample"": 0.544, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.39669421487603307,0.0,0.33800325978623613,55,0.8,12,0.01238,31.1954,5.251,0.956,0.883,"{""max_depth"": 12, ""learning_rate"": 0.01238, ""reg_lambda"": 31.1954, ""scale_pos_weight"": 5.251, ""colsample_bytree"": 0.956, ""subsample"": 0.883, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4830508474576271,0.0,0.3514405130840135,2,0.5,14,0.00491,0.0197,1.633,0.934,0.817,"{""max_depth"": 14, ""learning_rate"": 0.00491, ""reg_lambda"": 0.0197, ""scale_pos_weight"": 1.633, ""colsample_bytree"": 0.934, ""subsample"": 0.817, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4406392694063927,0.3228228228228228,0.3611131904416851,47,1.0,14,0.01757,0.0451,7.064,0.659,0.855,"{""max_depth"": 14, ""learning_rate"": 0.01757, ""reg_lambda"": 0.0451, ""scale_pos_weight"": 7.064, ""colsample_bytree"": 0.659, ""subsample"": 0.855, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.042188628496002786,0.0,0.017794144535641127,2,0.3,1,0.01825,14.41,1.835,0.789,0.599,"{""max_depth"": 1, ""learning_rate"": 0.01825, ""reg_lambda"": 14.41, ""scale_pos_weight"": 1.835, ""colsample_bytree"": 0.789, ""subsample"": 0.599, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.3722721437740693,0.36957813428401665,0.33394847741821043,19,0.5,7,0.05155,0.9024,9.898,0.591,0.982,"{""max_depth"": 7, ""learning_rate"": 0.05155, ""reg_lambda"": 0.9024, ""scale_pos_weight"": 9.898, ""colsample_bytree"": 0.591, ""subsample"": 0.982, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.042188628496002786,0.0,0.017794144535641127,5,0.3,1,0.01667,17.953,6.426,0.828,0.957,"{""max_depth"": 1, ""learning_rate"": 0.01667, ""reg_lambda"": 17.953, ""scale_pos_weight"": 6.426, ""colsample_bytree"": 0.828, ""subsample"": 0.957, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
