model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
edge_scalar_lgb,val,2026-08-18T07:08:24,0.62751677852349,0.5612903225806452,0.7946175637393768,0.5184842883548983,0.5951207879292798,0.8280961182994455,0.597,0.18016471239289406,1015602,1082,2,18.7,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 2, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_lgb,test,2026-08-18T07:08:24,0.6926920674578388,0.6373226627864678,0.7898860398860399,0.6167964404894327,0.6812382970720909,0.8681868743047831,0.913,0.18016471239289406,1015882,1798,2,18.7,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 2, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,val,2026-08-18T07:09:01,0.6433234421364985,0.617775015537601,0.8988391376451078,0.5009242144177449,0.6192290700854504,0.821626617375231,0.616,0.2782904803752899,1015602,1082,2,35.0,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 2, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,test,2026-08-18T07:09:02,0.7070299360914901,0.6831683168316832,0.894468085106383,0.5845383759733037,0.705456258260273,0.8520578420467185,0.941,0.2782904803752899,1015882,1798,2,35.0,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 2, ""n_feature"": 93, ""train_rows"": 2535504}"
baseline_lgb,val,2026-08-18T07:09:50,0.6257879656160459,0.5855799373040752,0.8235294117647058,0.5046210720887245,0.5908483369565508,0.8123844731977818,0.592,0.2348506694232713,1015602,1082,3,39.2,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_lgb,test,2026-08-18T07:09:50,0.69696,0.6600846262341326,0.8206480783722683,0.6056729699666296,0.6798740497113026,0.8437152391546162,0.907,0.2348506694232713,1015882,1798,3,39.2,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,val,2026-08-18T07:10:28,0.6349206349206349,0.6147186147186147,0.8723747980613893,0.49907578558225507,0.6059440076418852,0.8207024029574861,0.602,0.2911156117916107,1015602,1082,3,36.3,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,test,2026-08-18T07:10:29,0.7036290322580645,0.6843946815955213,0.8887945670628183,0.582313681868743,0.686264220110255,0.8275862068965517,0.938,0.2911156117916107,1015882,1798,3,36.3,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
edge_scalar_lgb,val,2026-08-18T07:11:12,0.621301775147929,0.5635430038510911,0.8634868421052632,0.4852125693160813,0.5829284122270302,0.8234750462107209,0.588,0.28750516523006786,1015602,1082,3,36.1,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 3, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_lgb,test,2026-08-18T07:11:13,0.7007348029392118,0.647887323943662,0.8770903010033445,0.5834260289210234,0.6872170749337322,0.8637374860956618,0.922,0.28750516523006786,1015882,1798,3,36.1,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 3, ""n_feature"": 93, ""train_rows"": 2535504}"
